5586	11157
1654	8065
50813	51185
1072	5052
3184	65056
1108	84991
5687	5704
166	9841
23144	55299
1376	27089
26523	55802
7037	10075
2976	8351
2150	5702
8546	22938
3312	23367
3065	22938
1452	5917
6199	10294
6169	55872
1981	7337
6047	81542
1476	84324
2665	5962
56997	90956
11140	80267
6625	115752
1432	64770
10525	55848
9793	22938
4697	5250
22827	51574
5706	11047
9410	22938
3187	60496
821	57130
1650	10269
8726	23394
659	1326
3187	4520
10401	22954
5684	5699
3091	29894
5685	5690
22938	27339
7251	136991
7203	22938
6430	9775
292	51574
7157	11091
7311	11201
23047	54516
6950	10987
5716	9817
2643	6416
3094	387522
514	521
6189	51185
84246	90390
1650	3476
5725	22938
10228	10482
5597	22938
1845	3106
9447	10212
327	6897
472	6118
22938	51377
1785	23607
1738	8565
4841	51741
8905	29015
6167	55872
1459	51065
8260	51699
3313	8737
8351	8370
6207	6232
55342	406976
2801	55758
7360	22827
10383	51320
8481	23379
10486	345651
10254	57542
5034	7532
22938	23028
5970	9349
5685	5707
10270	79155
2534	10015
5684	11047
10165	81631
2962	5701
6637	10262
4188	26505
8726	10274
3983	10241
3187	10575
63891	119765
5985	22938
6047	60559
5496	6625
6597	6760
2107	9343
5825	6047
5125	57532
54948	65008
25912	51368
5687	118460
5934	6502
1387	2033
8607	11091
7341	8467
11000	27248
1452	5981
5931	90850
2267	54876
23020	79228
7324	9810
51397	54939
2289	54583
472	5830
908	23193
6015	22938
29079	153241
896	1021
8916	23291
9391	23559
811	5684
8570	55832
5687	5690
4725	7384
5110	79001
22938	23517
3065	7343
2288	3315
7428	8065
3189	10949
908	3065
4216	7175
27347	64225
2547	5684
7329	79902
2534	51574
10283	22938
11261	389015
86	22938
23451	84991
11051	23451
51207	200845
7532	51530
7917	8625
7415	51185
7155	23367
5706	6210
60	87
5966	8664
3066	55758
3064	27342
3611	6194
55320	64376
3326	5684
5585	8427
695	1820
79039	83732
8914	64852
2962	51699
6185	56993
11212	55011
4507	132789
8351	10629
6206	6210
160	57587
6164	23212
8345	157313
9742	10726
4191	5684
22938	55832
2551	25782
5562	9782
6389	27089
988	10383
8450	9667
6230	10987
5356	22938
22938	64783
811	5597
1460	9616
10155	55781
2962	7514
1454	6249
830	6494
8655	55148
3320	7283
6047	29880
11338	81892
8570	55723
8487	56950
472	7486
1493	6776
22938	129831
7341	9146
11235	51510
3301	84790
3010	8349
6389	57001
409	3187
5684	7167
6257	8405
1080	10398
1616	7155
975	3178
10797	120892
10412	23144
28958	119559
202	149628
6641	7430
6204	54499
26270	51726
57610	90060
6233	10987
6047	6201
3187	11321
9958	58513
23214	29126
2130	140735
1956	84709
1457	23122
4332	65083
6629	22938
4733	22938
5094	22938
8065	116064
1337	6047
3476	8761
3735	9367
5814	23212
3608	22938
6047	54495
23450	91603
7329	23118
3065	23118
7529	9698
11161	56144
5499	8030
9040	23142
8370	26270
1457	5305
10982	11017
22938	55308
1195	6428
5934	221937
9851	64376
1741	60412
6092	10206
1108	79718
23379	85403
835	7329
381	644
23390	26580
11091	79726
5685	7415
6194	27292
54512	55011
2971	3579
5936	51121
10726	51699
973	7297
468	1050
10078	23154
4841	10940
695	6776
10284	11198
1738	10726
3703	26270
1398	3106
3320	5034
6629	10262
7979	10273
3937	84106
23028	55329
2801	58516
988	2874
23616	30011
6047	8362
6642	29079
51056	51538
10421	11017
9221	22938
4210	10572
7486	9656
1351	4697
26580	84896
3611	6235
821	6520
51072	51479
6628	51185
3183	7534
5093	6165
9817	27258
22827	51185
23186	79991
3676	6723
8467	22938
5250	6687
7337	8545
7431	7791
22995	23094
23753	26270
7184	22938
6206	6218
5861	25820
5987	6477
7150	25804
6194	55759
1072	10063
9440	29079
4221	11091
162	10614
8408	9821
6636	22938
4736	23144
805	5971
10262	84844
1738	10574
23367	55781
9638	129563
5684	8570
6625	10985
10971	23367
6794	51094
2580	10188
1457	7112
5684	22827
22938	203068
1460	7088
7283	51121
4174	5684
54101	84522
6189	7570
6138	23144
3841	6502
10459	51065
5093	59286
7158	57634
3921	6169
1975	26270
6601	10291
5977	6601
2033	3659
5935	91368
3611	6152
509	1650
3838	22938
1457	51138
6259	10163
3276	6625
4087	10274
10987	23253
10940	83732
9815	55275
22938	51603
27095	60684
6159	8350
4088	58472
22938	79023
10694	22938
7329	11140
10452	55848
1195	11104
4100	11074
8089	10933
8370	440689
9958	51574
7009	91445
3065	55893
7030	9631
5701	11047
1937	55339
5984	22938
1981	23517
1376	51079
6154	9775
8556	134359
9188	22938
3608	23367
509	7384
5566	6853
7337	10945
1958	29947
2289	23405
1031	60491
10137	29925
3312	22938
472	9937
5300	5604
26094	64708
1195	10949
7529	10238
963	3732
3189	7750
2932	8473
3133	3136
5687	11047
6472	8625
9631	22938
6118	23020
55197	653226
6189	26986
23020	26121
5223	5684
10043	54512
861	3313
3187	10971
6389	65008
6047	56942
8214	81704
85476	374291
10550	79001
3959	10426
29979	84557
509	400916
6430	25980
5954	7430
1195	64783
51253	57129
5684	8078
6118	317772
51026	79001
10262	51574
5706	22938
3326	7128
4332	81627
6223	29904
60491	91056
613	1173
1173	9513
5869	64786
7012	55651
26037	57706
326	26986
28977	51253
6602	8681
3028	9589
7347	84936
81894	154091
1785	553115
8353	8360
2648	11186
4215	51474
861	5905
10574	11091
6950	7260
