5586	11157
7322	9921
3133	22926
1072	5052
54512	55164
861	7088
1457	23411
1401	2335
5687	5704
4716	5597
23466	27245
9669	79842
515	9131
10197	55720
7158	9442
1376	27089
7124	94097
1432	3206
529	9368
2150	5702
8546	22938
7112	22938
3312	23367
27288	51574
3065	22938
1104	8350
22827	406976
9111	9320
5704	7158
1173	55707
5111	5591
6199	10294
9135	57701
2100	8350
6169	55872
158	29978
1981	7337
140735	167691
9491	29911
6047	81542
1476	84324
301	11338
10553	57727
54629	64215
4000	57794
3321	8294
56997	90956
26003	55848
5710	5886
3837	10073
10525	55848
5689	10982
9793	22938
4697	5250
5887	6636
6472	8362
51429	55211
23450	51362
22827	51574
9410	22938
5460	84231
10574	51574
351	7431
7158	8880
327	9759
1650	10269
4055	7124
5289	10155
5610	8360
659	1326
51574	407007
2960	8350
23438	406900
627	192669
9759	22807
32	84759
6272	22837
5684	5699
4670	51121
4215	5501
2023	10549
4898	54888
5861	6117
90480	124995
5685	5690
22938	27339
2771	5339
5190	55729
811	821
7251	136991
7203	22938
6430	9775
3646	10397
25764	29979
4817	9759
292	51574
51574	203068
1642	3091
6199	6732
1173	81557
23215	23710
23047	54516
6950	10987
158	5887
6389	9759
2643	6416
1410	1421
5689	11047
4695	29789
3032	155061
521	3676
8078	84817
973	8225
6189	51185
6047	23060
6047	23456
602	5970
5725	22938
8368	55872
5597	22938
155	6456
8294	8350
327	6897
5725	5861
10884	51263
1163	5966
22938	51377
1738	8565
4841	51741
8905	29015
2289	4174
1459	51065
9135	9575
6047	83460
84219	143686
8214	27342
8439	23710
1003	5787
8351	8370
821	3419
2908	221504
2100	54499
1025	8367
9978	123879
6879	29894
6456	78994
71	3001
539	24144
22944	574031
7360	22827
3013	6188
5699	51371
2237	22938
7158	26263
3320	10728
389421	407044
3065	55734
4841	10036
79892	79917
6879	10346
821	23193
2023	6418
3312	4221
7189	10128
10667	57085
896	1019
6605	10661
7186	7187
7126	146705
10254	57542
7360	10425
8360	26270
821	2108
6541	9531
65008	90480
960	54958
1838	200081
22938	23028
8565	84324
11052	51645
5970	9349
5970	6129
3676	3939
23197	51253
7325	79016
7779	221188
2122	338323
9553	10492
5685	5707
3157	3735
2534	10015
5684	11047
10165	81631
9150	55140
60	8655
6048	51141
23020	63891
9656	55869
6637	10262
1457	11124
8726	10274
3003	3148
1676	3004
5315	8968
51639	57418
2100	51575
9775	51503
5985	22938
3949	55011
6794	7322
51341	54880
1314	22818
8359	8366
23390	64116
29079	54439
6597	6760
10009	653067
2010	3717
7917	84223
811	5604
2107	9343
4000	25972
8428	51065
5825	6047
6795	8350
4725	9131
5597	7203
7415	51649
8878	9474
9513	25917
6637	9343
154	2040
54901	284086
7675	54737
25912	51368
5687	118460
9026	23246
1738	11315
5571	9817
6193	26270
50813	51138
1387	2033
11000	27248
1452	5981
9555	221662
10801	51574
821	10549
2267	54876
8450	55234
162	55291
23020	79228
8351	84146
1025	9320
84445	84988
6203	6206
4000	10269
51493	81631
8368	442319
10318	200081
821	51079
6015	22938
896	1021
5684	5690
1311	11173
8916	23291
9391	23559
23197	219927
811	5684
5687	5690
63978	79923
154	81631
1891	5597
4831	29934
11337	55720
5110	79001
5933	22938
498	521
7846	10005
11179	256646
7203	8195
11034	81892
3831	7532
5687	8454
114571	147409
3315	8848
54512	149628
5706	5713
2801	11056
6272	26065
5689	5705
7158	9830
1832	63891
2547	5684
6187	6206
3315	9588
1314	55011
2534	51574
10283	22938
57599	57621
11261	389015
6201	8454
2040	55705
86	22938
11051	23451
1660	7520
3189	23710
2035	23020
79829	90806
7917	8625
8405	64326
5692	8454
2040	57510
6613	56949
51574	64963
6633	23385
7415	51185
998	55920
6136	9646
8086	26123
6124	10397
6733	8794
6272	9816
22938	29127
8242	9611
4779	5694
3064	27342
3148	6472
3676	5687
4067	6199
3326	5684
3376	406904
5566	445815
79039	83732
5216	10273
8914	64852
1981	8661
2962	51699
6185	56993
4522	6625
11212	55011
5687	5713
64396	100008586
6206	6210
6164	23212
3838	51574
84445	116988
483	529
7272	55143
5687	5698
821	1457
4191	5684
22938	55832
5597	9404
4627	5339
2551	25782
4175	255626
163	53371
988	10383
4704	26270
10953	65057
2810	79577
5356	22938
22938	64783
10963	83479
9188	406904
3191	79832
811	5597
2204	2209
1104	23363
1460	9616
2353	2720
6510	51478
9111	10933
65986	653067
8139	23140
6727	8454
830	6494
8655	55148
4839	6272
11338	81892
4723	5447
4841	11213
5859	6788
8487	56950
6934	7090
515	23028
3065	3839
3611	286053
483	515
126070	386676
25831	219541
22938	129831
4753	9923
3182	10170
2289	10598
6118	51100
498	51185
11235	51510
3301	84790
5612	653067
9991	57599
2631	5584
6272	54840
8294	9775
3376	8412
1080	10398
2100	51503
7534	84952
4697	7386
4618	56269
80019	114932
30011	359948
25793	80131
26234	283237
7874	9352
5901	157313
25888	90933
27249	64951
821	1211
10412	23144
7818	23291
10498	55707
6788	9218
55703	55720
126070	386677
1642	9759
3725	11335
6635	27336
202	149628
6637	9128
522	2023
3611	5689
51218	150274
5300	6667
9131	56945
6431	8668
7444	23399
2060	3883
8405	57142
6256	80205
11198	79829
1368	55633
3835	6778
841	3309
23214	29126
100652748	23197
2130	140735
4520	55922
1956	84709
1457	23122
9404	9814
821	54948
389421	406905
6629	22938
4733	22938
1337	6047
7334	10131
708	5660
3735	9367
1992	3704
10166	11326
11345	23020
5814	23212
526	5300
27249	374291
3608	22938
5687	7494
125	126
962	254065
8354	645455
5355	64975
498	2647
6883	8294
5935	27316
83987	445815
8625	54887
7157	10155
79065	91694
5686	5687
2023	9512
4697	132001
9276	54732
389421	407035
5467	386682
1838	128229
7486	23468
6801	10575
4841	407045
22938	55308
5687	5721
2289	7268
6188	10397
831	55011
5861	6118
4728	5861
1347	7416
9851	64376
1741	60412
4697	6472
2873	8450
55737	55795
9343	81892
60	2319
1891	114294
1981	51633
2100	54929
3376	51065
5862	79102
5300	5770
1108	79718
2769	80304
23291	51649
6659	84823
23379	85403
9662	57568
3727	23411
51373	155061
4686	8907
1642	7013
5684	27339
381	644
5685	7415
3312	8195
3344	7874
54512	55011
2971	3579
5936	51121
10482	140576
10726	51699
25942	359948
2100	130507
468	1050
2100	56647
10078	23154
5861	8417
29071	64116
23144	29997
4841	10940
1639	5694
149951	170622
